Date,Time,Day,Station,Code,Min_Delay,Line
2023-01-01T00:00:00Z,02:22:00,Sunday,MUSEUM STATION,MUPAA,3,YU
2023-01-01T00:00:00Z,08:02:00,Sunday,VAUGHAN MC STATION,TUNOA,6,YU
2023-01-01T00:00:00Z,08:11:00,Sunday,GREENWOOD STATION,MUNOA,5,BD
2023-01-01T00:00:00Z,08:15:00,Sunday,KEELE STATION,TUNOA,5,BD
2023-01-01T00:00:00Z,08:16:00,Sunday,GREENWOOD STATION,TUNOA,5,BD
2023-01-01T00:00:00Z,08:19:00,Sunday,DONLANDS STATION,TUNOA,4,BD
2023-01-01T00:00:00Z,08:21:00,Sunday,GREENWOOD STATION,TUNOA,5,BD
2023-01-01T00:00:00Z,08:24:00,Sunday,EGLINTON STATION,SUG,6,YU
2023-01-01T00:00:00Z,08:31:00,Sunday,GREENWOOD STATION,TUNOA,4,BD
2023-01-01T00:00:00Z,08:38:00,Sunday,EGLINTON STATION,TUNOA,6,YU
2023-01-01T00:00:00Z,08:44:00,Sunday,SHEPPARD WEST STATION,TUNOA,6,YU
2023-01-01T00:00:00Z,10:54:00,Sunday,EGLINTON STATION,PUSRA,4,YU
2023-01-01T00:00:00Z,11:54:00,Sunday,DONLANDS STATION,TUNIP,3,BD
2023-01-01T00:00:00Z,14:39:00,Sunday,DAVISVILLE STATION,SUDP,4,YU
2023-01-01T00:00:00Z,15:55:00,Sunday,PIONEER VILLAGE STATIO,MUSAN,5,YU
2023-01-01T00:00:00Z,16:13:00,Sunday,SHEPPARD WEST STATION,SUDP,6,YU
2023-01-01T00:00:00Z,17:27:00,Sunday,GREENWOOD STATION,SUDP,9,BD
2023-01-01T00:00:00Z,18:59:00,Sunday,ST GEORGE YUS STATION,MUPAA,5,YU
2023-01-01T00:00:00Z,19:30:00,Sunday,BATHURST STATION,SUSP,5,BD
2023-01-01T00:00:00Z,20:37:00,Sunday,YONGE BD STATION,SUDP,3,BD
2023-01-01T00:00:00Z,21:57:00,Sunday,KENNEDY BD STATION,EUVA,6,BD
2023-01-01T00:00:00Z,22:19:00,Sunday,UNION STATION,SUDP,14,YU
